id_prodi,kode_prodi,tahun,daya_tampung,peminat,diterima,keketatan
113005,11131005,2025,40,67,40,59.7%
113006,11131006,2021,20,41,25,48.78%
113006,11131006,2022,32,42,27,76.19%
113006,11131006,2023,32,59,28,54.24%
113006,11131006,2024,24,45,21,53.33%
113006,11131006,2025,24,32,21,75%
113007,11131007,2021,64,225,104,28.44%
113007,11131007,2022,80,322,108,24.84%
113007,11131007,2023,60,321,80,18.69%
113007,11131007,2024,72,301,72,23.92%
113007,11131007,2025,64,320,64,20%
113008,11131008,2021,12,26,21,46.15%
113008,11131008,2022,16,28,18,57.14%
113008,11131008,2023,16,14,9,114.29%
113008,11131008,2024,16,20,15,80%
113008,11131008,2025,16,12,8,133.33%
113009,11131009,2021,12,12,9,100%
113009,11131009,2022,16,14,10,114.29%
113009,11131009,2023,16,13,9,123.08%
113009,11131009,2024,16,8,4,200%
113009,11131009,2025,16,6,3,266.67%
113010,11131010,2021,16,62,27,25.81%
113010,11131010,2022,36,55,29,65.45%
113010,11131010,2023,36,47,32,76.6%
113010,11131010,2024,48,56,38,85.71%
113010,11131010,2025,48,64,39,75%
113011,11131011,2021,16,30,15,53.33%
113011,11131011,2022,24,32,26,75%
113011,11131011,2023,24,36,22,66.67%
113011,11131011,2024,16,18,13,88.89%
113011,11131011,2025,16,35,16,45.71%
113012,11131012,2021,48,153,70,31.37%
113012,11131012,2022,48,173,65,27.75%
113012,11131012,2023,40,163,48,24.54%
113012,11131012,2024,48,166,48,28.92%
113012,11131012,2025,48,149,48,32.21%
113013,11131013,2021,40,208,102,19.23%
113013,11131013,2022,80,309,108,25.89%
113013,11131013,2023,60,381,81,15.75%
113013,11131013,2024,72,359,72,20.06%
113013,11131013,2025,64,322,64,19.88%
113014,11131014,2021,16,61,25,26.23%
113014,11131014,2022,32,62,29,51.61%
113014,11131014,2023,32,54,32,59.26%
113014,11131014,2024,28,37,24,75.68%
113014,11131014,2025,28,40,22,70%
113015,11131015,2021,48,153,75,31.37%
113015,11131015,2022,72,166,97,43.37%
113015,11131015,2023,96,173,96,55.49%
113015,11131015,2024,80,170,80,47.06%
113015,11131015,2025,72,107,72,67.29%
113016,11131016,2021,40,114,53,35.09%
113016,11131016,2022,48,106,65,45.28%
113016,11131016,2023,48,97,48,49.48%
113016,11131016,2024,48,91,48,52.75%
113016,11131016,2025,48,99,48,48.48%
113017,11131017,2021,48,114,68,42.11%
113017,11131017,2022,56,113,57,49.56%
113017,11131017,2023,72,118,72,61.02%
113017,11131017,2024,80,131,80,61.07%
113017,11131017,2025,72,87,65,82.76%
113018,11131018,2021,48,232,101,20.69%
113018,11131018,2022,64,240,90,26.67%
113018,11131018,2023,72,194,72,37.11%
113018,11131018,2024,80,265,80,30.19%
113018,11131018,2025,72,190,72,37.89%
113019,11131019,2021,48,171,89,28.07%
113019,11131019,2022,56,147,87,38.1%
113019,11131019,2023,60,156,72,38.46%
113019,11131019,2024,72,147,72,48.98%
113019,11131019,2025,72,127,72,56.69%
113020,11131020,2021,40,101,70,39.6%
113020,11131020,2022,56,100,64,56%
113020,11131020,2023,60,128,60,46.88%
113020,11131020,2024,72,130,72,55.38%
113020,11131020,2025,72,105,71,68.57%
113021,11131021,2024,24,20,13,120%
113021,11131021,2025,24,28,13,85.71%
113022,11131022,2024,24,44,22,54.55%
113022,11131022,2025,32,87,32,36.78%
113023,11131023,2024,24,71,24,33.8%
113023,11131023,2025,32,156,32,20.51%
113024,11131024,2025,24,25,16,96%
122001,11221001,2021,53,853,54,6.21%
122001,11221001,2022,56,802,56,6.98%
122001,11221001,2023,57,731,57,7.8%
122001,11221001,2024,45,595,45,7.56%
122001,11221001,2025,51,649,51,7.86%
122002,11221002,2021,36,784,36,4.59%
122002,11221002,2022,38,863,38,4.4%
122002,11221002,2023,64,665,64,9.62%
122002,11221002,2024,49,566,49,8.66%
122002,11221002,2025,55,603,55,9.12%
122003,11221003,2021,44,319,44,13.79%
122003,11221003,2022,48,397,48,12.09%
122003,11221003,2023,64,210,64,30.48%
122003,11221003,2024,73,232,73,31.47%
122003,11221003,2025,82,266,82,30.83%
122004,11221004,2021,44,351,44,12.54%
122004,11221004,2022,48,377,48,12.73%
122004,11221004,2023,89,292,89,30.48%
122004,11221004,2024,98,340,98,28.82%
122004,11221004,2025,106,377,106,28.12%
122005,11221005,2021,27,115,27,23.48%
122005,11221005,2022,26,135,26,19.26%
122005,11221005,2023,38,60,29,63.33%
122005,11221005,2024,47,87,47,54.02%
122005,11221005,2025,55,90,55,61.11%
122006,11221006,2021,22,376,22,5.85%
122006,11221006,2022,24,334,24,7.19%
122006,11221006,2023,38,171,38,22.22%
122006,11221006,2024,47,197,47,23.86%
122006,11221006,2025,55,227,55,24.23%
122007,11221007,2021,18,131,18,13.74%
122007,11221007,2022,20,136,20,14.71%
122007,11221007,2023,32,101,32,31.68%
